unix,date,symbol,open,high,low,close,Volume VEXT,Volume USD
1711422000,2024-03-26 03:00:00,VEXT/USD,0.0736,0.0736,0.0736,0.0736,0.000,0.0
1711418400,2024-03-26 02:00:00,VEXT/USD,0.0736,0.0736,0.0736,0.0736,0.000,0.0
1711414800,2024-03-26 01:00:00,VEXT/USD,0.0736,0.0736,0.0736,0.0736,0.000,0.0
1711411200,2024-03-26 00:00:00,VEXT/USD,0.0736,0.0736,0.0736,0.0736,0.000,0.0
1711407600,2024-03-25 23:00:00,VEXT/USD,0.0736,0.0736,0.0736,0.0736,0.000,0.0
1711404000,2024-03-25 22:00:00,VEXT/USD,0.0736,0.0736,0.0736,0.0736,0.000,0.0
1711400400,2024-03-25 21:00:00,VEXT/USD,0.0728,0.0736,0.0728,0.0736,16129.050,1187.09808
1711396800,2024-03-25 20:00:00,VEXT/USD,0.0723,0.0733,0.0723,0.0727,36120.539,2625.9631852999996
1711393200,2024-03-25 19:00:00,VEXT/USD,0.0722,0.0727,0.0722,0.0724,24635.850,1783.63554
1711389600,2024-03-25 18:00:00,VEXT/USD,0.0718,0.0722,0.0717,0.0722,12846.492,927.5167224
1711386000,2024-03-25 17:00:00,VEXT/USD,0.0724,0.0724,0.0724,0.0724,1740.420,126.00640800000002
1711382400,2024-03-25 16:00:00,VEXT/USD,0.0725,0.0725,0.0718,0.0719,25181.845,1810.5746555000003
1711378800,2024-03-25 15:00:00,VEXT/USD,0.0733,0.0738,0.0725,0.0725,22241.377,1612.4998325
1711375200,2024-03-25 14:00:00,VEXT/USD,0.0728,0.0728,0.0728,0.0728,2013.610,146.590808
1711371600,2024-03-25 13:00:00,VEXT/USD,0.0725,0.0739,0.0725,0.0729,55593.191,4052.7436239000003
1711368000,2024-03-25 12:00:00,VEXT/USD,0.0706,0.0721,0.0706,0.0721,25308.463,1824.7401823
1711364400,2024-03-25 11:00:00,VEXT/USD,0.0720,0.0720,0.0705,0.0705,11014.695,776.5359974999999
1711360800,2024-03-25 10:00:00,VEXT/USD,0.0711,0.0720,0.0711,0.0720,20403.452,1469.048544
1711357200,2024-03-25 09:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711353600,2024-03-25 08:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711350000,2024-03-25 07:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711346400,2024-03-25 06:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711342800,2024-03-25 05:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711339200,2024-03-25 04:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711335600,2024-03-25 03:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711332000,2024-03-25 02:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711328400,2024-03-25 01:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711324800,2024-03-25 00:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711321200,2024-03-24 23:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711317600,2024-03-24 22:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711314000,2024-03-24 21:00:00,VEXT/USD,0.0715,0.0715,0.0704,0.0705,23162.464,1632.9537119999998
1711310400,2024-03-24 20:00:00,VEXT/USD,0.0715,0.0718,0.0715,0.0718,13748.406,987.1355508000001
1711306800,2024-03-24 19:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711303200,2024-03-24 18:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711299600,2024-03-24 17:00:00,VEXT/USD,0.0705,0.0705,0.0705,0.0705,0.000,0.0
1711296000,2024-03-24 16:00:00,VEXT/USD,0.0705,0.0706,0.0705,0.0705,1249.313,88.0765665
1711292400,2024-03-24 15:00:00,VEXT/USD,0.0706,0.0709,0.0706,0.0709,189.009,13.4007381
1711288800,2024-03-24 14:00:00,VEXT/USD,0.0716,0.0719,0.0707,0.0709,1173.530,83.203277
1711285200,2024-03-24 13:00:00,VEXT/USD,0.0725,0.0727,0.0725,0.0727,1316.240,95.690648
1711281600,2024-03-24 12:00:00,VEXT/USD,0.0707,0.0707,0.0705,0.0705,2236.410,157.66690499999999
1711278000,2024-03-24 11:00:00,VEXT/USD,0.0703,0.0703,0.0703,0.0703,1807.548,127.0706244
1711274400,2024-03-24 10:00:00,VEXT/USD,0.0704,0.0704,0.0704,0.0704,0.000,0.0
1711270800,2024-03-24 09:00:00,VEXT/USD,0.0704,0.0704,0.0704,0.0704,0.000,0.0
1711267200,2024-03-24 08:00:00,VEXT/USD,0.0704,0.0704,0.0704,0.0704,0.000,0.0
